Name,Handle,Platform,Followers,Language,Bio,Recent Posts
Ravi Kumar,@ravikumar_gov,Twitter,150000,Hindi,"Proud Indian 🇮🇳 | Social Activist | Governance and Policy observer.","Great to see the impact of PM Awas Yojana in our village today. Also, Swachh Bharat is making a real difference! #DigitalIndia"
Anita Sharma,@anitastartup,LinkedIn,75000,English,"Founder & Angel Investor 🚀 | Supporting early stage startups in India.","Just funded a new AI startup. We need to leverage the Startup India ecosystem more. The Make in India initiative is creating so many opportunities."
Dr. Meena Singh,@dr_meena_health,YouTube,500000,Hindi,"Doctor, Educator, and Public Health Advocate.","आज हम बात करेंगे आयुष्मान भारत (Ayushman Bharat) योजना के बारे में। जानिए कैसे आप इसका लाभ उठा सकते हैं। Healthcare infrastructure is improving."
Rajesh Tech,@rajesh_tech,Twitter,320000,English,"Tech Enthusiast | Gadget Reviewer | Developer.","UPI is truly the best payment system in the world. Look at how our digital infrastructure has grown! #AtmanirbharBharat"
Priya Education,@priya_edutech,Instagram,210000,English,"EdTech Founder | Empowering youth through skill development.","Check out my new video on the Skill India initiative and how it's changing the landscape of education and employment in our country."
Vikram Fitness,@vikram_fit,Instagram,85000,Hindi,"Fitness Coach 💪 | Nutritionist.","Gym session done! Always support local brands for your protein intake. Vocal for Local! But honestly, the local roads need fixing."
Neha Style,@neha_lifestyle,Instagram,450000,English,"Fashion & Travel Blogger ✈️👗 | Exploring the world one outfit at a time.","Just got my new summer collection from Zara! Heading out for a brunch date today. Love this weather! ☀️"
Amit Farmer,@amit_kisan,YouTube,120000,Hindi,"Organic Farmer | Sharing tips for better crop yield.","National Development is only possible when our farmers are strong. Government Schemes like PM-KISAN are helpful, but we need more direct support."
Pooja Finance,@pooja_money,Twitter,95000,English,"Chartered Accountant | Personal Finance Tips 💰","Let's break down the latest budget and what it means for the Infrastructure sector. Make in India is a clear focus here."
Suresh News,@suresh_updates,Twitter,55000,Hindi,"Independent Journalist | Daily News Updates.","आज की बड़ी खबर: National Highway प्रोजेक्ट का उद्घाटन। यह देश के विकास (India Development) के लिए एक महत्वपूर्ण कदम है।"
